Temperature,Wind Speed,Visibility,Cloud Cover
22.0,9.3,5.0,89.1
21.1,10.9,4.1,88.0
21.1,12.8,4.1,89.1
21.1,12.8,4.1,88.0
20.7,7.3,6.8,94.3
21.1,16.4,2.2,88.0
21.0,9.4,2.1,89.1
21.0,9.5,2.2,88.0
21.0,11.2,2.1,89.1
21.0,9.5,2.2,88.0
20.2,9.4,6.3,94.3
21.0,9.5,2.2,88.0
21.0,9.3,2.1,89.1
20.1,9.3,2.2,88.0
20.1,7.6,2.1,89.1
21.0,5.5,3.2,88.0
20.2,5.5,6.7,94.3
20.1,7.6,3.1,88.0
21.0,7.5,2.1,89.1
21.0,9.1,2.2,88.0
21.0,9.2,3.1,89.1
21.0,7.3,3.1,88.0
20.1,5.3,6.7,94.3
21.0,7.4,2.1,88.0
20.0,7.5,2.1,89.1
20.0,7.4,3.1,88.0
20.0,9.3,3.0,89.1
20.0,5.4,2.1,88.0
20.1,7.4,6.7,94.3
20.0,7.4,2.1,88.0
20.0,9.2,3.0,89.1
20.0,7.3,3.1,88.0
20.0,7.5,2.1,89.1
20.0,7.4,3.1,88.0
20.1,9.1,6.3,94.3
20.0,10.8,3.1,88.0
20.0,9.2,3.0,89.1
20.0,7.3,2.1,88.0
20.0,7.5,3.0,89.1
20.0,7.3,2.1,88.0
20.1,5.2,6.3,94.3
21.0,5.2,3.1,88.0
21.0,5.4,3.1,89.1
21.0,5.5,3.2,88.0
21.0,7.6,5.1,89.1
22.0,7.5,6.1,88.0
22.0,7.4,8.1,94.3
22.1,5.3,6.1,88.0
22.1,9.2,4.1,89.1
22.1,5.3,4.2,88.0
23.0,5.4,4.1,89.1
23.0,5.5,4.1,88.0
23.0,4.5,12.9,94.3
23.0,5.6,5.1,88.0
24.0,5.5,5.0,89.1
23.9,5.7,5.1,88.0
24.0,9.3,5.0,89.1
23.0,9.2,5.1,88.0
23.5,5.5,12.9,94.3
23.0,7.6,5.1,88.0
23.0,7.6,5.0,89.1
22.0,7.6,5.0,88.0
22.0,7.6,5.0,89.1
22.0,5.5,5.0,88.0
21.9,5.5,12.9,89.1
22.0,5.6,5.0,88.0
22.0,5.5,5.0,89.1
22.0,5.5,5.0,88.0
22.0,3.7,5.0,89.1
22.0,3.7,4.0,88.0
21.6,3.7,12.4,94.3
22.0,5.3,4.0,88.0
22.0,3.6,4.0,89.1
22.0,3.5,3.1,88.0
22.0,3.6,3.0,89.1
22.0,3.5,3.1,88.0
21.5,1.9,12.0,89.1
22.0,1.9,3.1,88.0
22.0,1.8,3.0,89.1
22.0,1.8,3.0,88.0
22.0,1.8,3.0,89.1
21.0,1.8,3.0,88.0
21.1,2.7,6.2,94.3
21.0,1.7,2.1,88.0
22.0,7.4,3.0,89.1
22.0,7.3,3.0,88.0
21.0,7.4,4.0,88.4
21.0,5.2,4.0,85.8
20.9,5.3,11.9,88.0
22.0,5.3,3.1,85.8
22.1,11.0,3.1,88.4
22.1,10.8,4.1,86.6
23.1,7.5,4.1,88.4
23.2,5.2,4.1,86.6
24.0,4.4,13.4,93.7
25.1,7.4,6.0,86.6
26.1,9.2,7.1,88.0
25.1,9.3,9.0,49.1
27.0,7.6,10.0,49.6
26.0,7.7,10.0,49.1
26.3,6.4,15.3,70.6
27.0,7.8,10.0,49.1
27.0,9.5,7.1,88.0
26.0,7.9,7.1,85.8
26.0,9.5,7.1,88.0
25.0,9.6,6.1,85.8
24.8,7.5,13.9,93.2
25.0,5.8,7.1,85.8
24.0,5.5,7.1,88.0
24.0,3.9,6.1,85.8
24.0,3.7,4.1,88.0
24.0,3.7,4.2,85.8
23.6,3.6,12.5,88.0
23.0,3.7,5.2,85.8
23.0,1.9,5.1,88.0
23.0,1.9,5.2,85.8
23.0,5.4,5.1,88.4
23.0,5.3,5.2,86.6
22.1,5.3,13.0,88.0
22.0,5.4,5.2,85.8
22.0,5.3,5.1,88.0
22.0,5.3,5.2,85.8
22.0,1.8,5.1,28.0
21.1,1.7,3.2,25.9
21.1,1.7,2.1,59.6
21.1,1.7,2.3,27.2
23.0,3.6,10.0,88.0
23.0,3.6,10.0,88.0
21.0,1.8,2.1,28.0
21.0,1.8,2.2,50.0
21.3,3.6,2.1,70.6
22.0,3.6,2.1,49.1
21.0,7.4,3.0,49.6
22.0,5.2,2.1,49.1
21.0,7.5,2.1,49.6
22.0,5.2,1.1,49.1
21.8,4.4,2.1,75.8
21.950000000000003,4.0,2.55,62.7
22.1,3.6,3.0,49.6
23.1,2.1,5.0,49.1
24.0,3.6,5.0,88.0
25.0,3.7,6.0,85.8
25.1,3.6,14.3,88.4
26.0,3.6,8.0,86.6
26.0,5.5,10.0,88.0
27.0,5.5,9.9,49.1
27.0,5.4,10.0,50.0
28.0,5.5,9.9,50.0
27.1,9.2,15.2,70.6
27.0,7.5,9.9,49.1
27.0,9.3,10.0,49.6
27.0,9.2,9.9,49.1
27.0,7.5,10.0,49.6
27.0,7.6,9.9,49.1
26.8,4.5,15.2,70.6
26.9,5.4,9.9,49.1
26.0,3.6,10.0,27.6
25.0,3.7,9.9,25.0
25.0,5.4,10.0,27.6
24.0,5.3,9.9,25.0
23.1,5.3,15.2,59.1
23.0,3.5,9.9,25.0
22.0,3.6,6.0,27.6
23.0,3.5,6.1,25.0
22.0,3.6,7.0,49.6
22.0,3.5,7.0,49.1
21.5,3.6,5.4,70.6
22.0,3.5,3.1,49.1
22.0,1.8,3.1,49.6
21.0,3.5,3.1,49.1
22.0,3.6,3.1,0.8
21.0,3.5,1.2,25.0
21.9,1.8,1.1,88.0
21.0,3.5,1.1,25.0
21.0,3.6,1.1,0.8
22.0,3.6,5.0,25.0
22.0,1.8,5.0,25.0
22.0,0.0,5.0,25.0
21.9,3.5,4.0,88.0
22.0,3.5,4.0,49.1
22.0,7.5,4.0,49.6
22.0,7.3,2.1,49.1
22.0,3.5,2.1,49.6
22.0,3.5,2.0,50.0
21.4,5.3,12.4,71.7
22.0,3.5,4.9,86.6
22.0,3.5,7.9,89.1
23.0,3.5,6.9,88.0
24.0,3.5,7.9,89.1
25.0,3.5,7.9,88.0
25.3,2.7,14.3,89.1
27.0,5.3,9.9,88.0
27.0,3.6,9.9,89.1
26.0,5.3,9.9,86.6
26.1,7.6,9.9,88.4
28.0,5.3,9.9,85.8
26.8,9.9,15.2,88.0
28.0,9.4,9.9,49.1
28.0,7.6,10.0,49.6
27.0,7.6,9.9,50.0
27.0,9.4,10.0,50.0
27.0,12.8,9.9,50.0
26.0,8.3,15.2,71.0
26.0,7.6,9.9,50.0
25.0,9.3,10.0,49.6
25.0,9.2,9.9,50.0
24.0,5.4,10.0,50.0
24.0,1.8,9.9,50.0
23.8,3.7,15.2,88.4
24.0,1.9,7.0,86.6
24.0,1.8,7.0,88.4
24.0,1.8,7.0,86.6
23.0,1.9,6.0,88.4
23.0,1.9,4.1,86.6
23.1,3.6,12.5,88.4
23.0,1.8,5.1,86.6
23.0,3.6,5.0,88.4
23.0,3.5,4.1,86.6
23.0,5.3,5.0,88.4
23.0,1.7,4.1,86.6
22.6,3.5,3.0,88.4
22.0,1.7,3.1,86.6
22.0,1.8,2.1,50.0
22.0,1.7,2.1,50.0
22.0,3.5,3.1,50.0
22.0,5.2,3.1,50.0
21.8,1.7,2.4,71.0
22.0,5.3,4.0,50.0
21.0,1.8,4.0,88.4
21.0,5.3,4.0,86.6
21.0,5.4,4.0,50.0
21.0,5.2,3.1,50.0
21.5,5.3,5.7,71.0
22.0,3.5,4.0,50.0
23.1,3.5,6.0,50.0
25.0,5.3,9.9,50.0
26.0,7.5,10.0,50.0
26.0,7.5,9.9,50.0
26.7,6.4,15.2,71.0
27.9,13.0,9.9,50.0
28.0,18.3,10.0,50.0
27.9,18.2,9.9,50.0
29.0,20.4,10.0,50.0
28.9,20.2,9.9,50.0
27.5,16.1,15.2,71.0
28.9,22.0,9.9,50.0
28.0,22.2,10.0,50.0
27.0,22.0,9.9,50.0
27.0,22.1,10.0,50.0
26.9,22.1,9.9,50.0
25.8,14.2,15.2,71.0
26.0,20.3,9.9,50.0
25.0,18.3,9.9,50.0
25.0,18.1,9.9,51.4
25.0,18.2,9.9,50.0
25.0,0.5,9.9,50.0
24.5,2.1,15.2,76.9
24.75,8.4,12.55,63.45
25.0,14.7,9.9,50.0
25.0,9.3,9.9,50.0
25.0,9.4,9.9,50.6
24.9,9.4,9.9,50.0
23.7,9.4,15.2,88.8
24.0,11.1,9.9,50.0
24.0,9.3,9.9,1.6
24.0,9.3,9.9,50.0
24.0,12.8,9.9,1.6
24.0,5.4,9.9,88.0
22.5,3.5,15.2,99.6
23.0,3.5,9.9,88.0
23.0,3.7,9.9,2.7
22.0,3.7,9.9,88.0
22.0,3.7,9.9,2.7
22.0,2.0,9.8,88.0
20.8,2.0,4.0,89.9
21.0,2.0,4.0,88.0
21.0,3.6,4.0,2.7
22.0,7.4,4.0,27.2
21.0,7.4,4.0,28.0
21.0,0.0,4.0,25.9
21.3,3.5,5.7,59.1
22.0,3.5,3.1,25.0
23.0,3.5,4.4,49.6
24.1,3.5,7.9,50.0
26.0,5.3,9.9,50.0
26.0,7.5,9.9,50.0
25.5,5.4,15.2,71.0
27.9,5.3,9.9,50.0
26.0,7.6,10.0,50.0
28.0,9.4,10.0,50.0
27.0,16.5,10.0,50.0
28.0,14.6,10.0,50.0
26.9,13.5,15.3,71.0
27.9,14.8,10.0,50.0
27.0,18.3,10.0,50.0
28.0,20.3,10.0,50.0
26.0,16.6,10.0,49.6
26.9,16.5,9.9,49.1
26.2,14.3,15.2,65.3
26.0,16.6,9.9,49.1
25.0,18.2,10.0,50.0
25.0,16.5,9.9,50.0
25.0,16.4,10.0,50.0
25.0,16.2,9.9,51.4
24.5,8.8,15.2,71.7
25.0,14.6,9.9,51.4
25.0,14.7,10.0,88.4
25.0,14.5,9.9,86.6
25.0,14.6,10.0,88.4
25.0,12.8,9.9,86.6
23.5,9.0,15.2,88.4
24.0,7.6,9.9,88.0
23.0,3.6,10.0,50.0
22.0,7.4,9.9,50.0
22.0,5.4,10.0,50.0
22.0,1.9,5.1,50.0
21.6,3.7,12.9,71.0
22.0,3.7,6.1,50.0
21.1,5.4,6.0,50.0
21.1,7.4,7.0,50.0
21.1,5.4,7.0,88.4
22.0,3.7,8.0,88.0
21.3,1.9,14.3,71.7
24.0,5.4,8.0,88.0
22.0,5.4,6.0,50.6
21.0,3.7,6.1,51.4
21.1,5.3,4.1,50.6
21.1,2.0,5.0,51.4
20.5,2.1,13.3,71.7
22.0,3.7,5.9,51.4
23.0,3.6,6.0,89.1
23.9,3.7,6.0,88.0
24.0,3.7,6.0,89.1
24.9,5.5,6.9,88.0
25.0,11.7,15.2,89.1
25.9,14.5,9.9,88.0
27.0,16.4,9.9,89.1
26.9,23.7,9.9,88.0
28.0,23.9,9.9,89.1
27.8,23.8,9.8,88.0
26.7,11.6,15.2,89.9
26.8,25.4,9.9,88.0
27.0,18.1,9.9,2.7
26.8,11.0,9.9,88.0
27.0,16.4,9.9,2.7
25.9,27.0,9.9,88.0
25.5,10.7,15.2,89.9
25.9,20.1,9.9,88.0
25.0,18.2,9.8,2.7
24.9,14.4,9.8,88.0
25.0,14.6,9.8,2.7
24.9,14.5,9.8,51.4
24.4,9.5,15.2,71.7
24.0,10.9,9.8,51.4
25.0,12.8,9.9,50.6
24.9,14.3,9.8,51.4
25.0,14.6,9.9,50.6
24.9,14.3,9.8,51.4
23.4,14.4,15.2,71.7
24.0,10.8,9.8,51.4
23.0,7.5,9.9,50.6
22.0,7.5,9.8,51.4
22.0,5.4,9.9,50.6
22.0,3.7,6.9,51.4
21.9,3.5,13.8,71.7
22.0,3.5,6.9,51.4
22.0,3.6,6.9,50.6
22.0,3.6,6.9,51.4
22.0,3.6,6.0,50.6
22.0,3.7,5.9,51.4
21.6,3.5,13.3,71.7
22.0,3.5,5.9,51.4
21.0,3.6,6.0,50.6
21.0,3.6,5.9,51.4
21.0,3.6,6.0,50.6
21.0,3.5,5.9,51.4
21.3,3.6,7.5,71.0
24.9,3.6,9.7,49.1
26.0,5.3,9.9,49.6
26.9,5.3,9.8,49.1
28.0,3.6,9.9,49.6
27.9,3.7,9.8,49.1
28.6,3.6,15.2,70.6
29.0,5.4,9.9,49.1
30.0,5.4,9.9,49.6
28.0,11.2,6.0,50.0
31.0,9.5,9.9,50.0
30.9,7.8,9.9,50.0
30.1,9.1,15.2,88.4
30.9,11.3,9.9,50.0
31.0,13.0,9.9,50.0
30.8,13.0,9.9,50.0
30.9,11.2,9.9,50.0
29.8,7.9,9.9,50.0
29.3,4.7,15.2,71.0
28.8,5.8,9.9,50.0
28.0,5.6,8.0,50.0
26.9,3.9,7.9,50.0
27.0,3.6,7.9,88.4
25.9,3.6,6.9,86.6
25.6,4.4,13.8,88.4
25.9,3.5,6.0,85.8
26.0,3.6,6.0,88.0
25.0,1.9,6.9,49.1
25.0,1.8,6.0,49.6
24.9,3.6,6.9,49.1
24.1,1.9,12.0,70.6
24.0,1.8,3.1,49.1
24.0,3.5,6.0,49.6
24.0,5.3,6.9,49.1
24.0,7.5,7.9,49.6
23.9,5.3,7.9,49.1
23.2,4.5,12.4,70.6
23.0,5.3,5.9,49.1
23.0,5.3,4.0,49.6
23.0,1.8,3.0,49.1
23.0,3.5,3.0,49.6
22.9,1.7,3.0,49.1
22.1,1.7,3.1,70.6
22.0,1.7,3.0,49.1
22.0,1.8,3.0,49.6
22.0,1.8,3.0,85.8
22.0,1.8,3.0,88.0
22.0,1.8,3.0,86.6
22.3,1.7,11.9,88.4
24.0,1.8,4.0,88.0
24.0,1.8,4.0,88.4
26.0,3.6,6.0,86.6
27.0,3.6,9.9,88.4
28.0,3.5,9.9,86.6
28.1,3.6,15.2,71.0
30.0,7.4,9.9,50.0
31.0,7.5,10.0,50.0
29.0,9.2,9.9,50.0
29.0,5.4,10.0,50.0
29.0,9.2,9.9,50.0
27.5,9.4,15.2,71.0
27.0,9.4,7.0,88.0
26.0,11.1,7.0,89.1
26.0,12.8,7.0,88.0
26.0,9.4,7.0,89.1
25.1,14.6,7.0,86.6
24.6,9.0,8.6,93.7
25.0,14.8,6.0,86.6
25.0,11.2,6.0,88.4
25.0,7.6,6.0,86.6
24.0,11.1,6.0,88.4
24.0,9.2,6.0,88.0
23.6,5.5,14.3,71.7
24.0,7.7,7.9,88.0
24.0,11.3,7.9,89.1
24.0,11.2,6.0,88.0
24.0,5.5,6.0,88.4
24.0,5.5,6.0,86.6
23.5,7.6,14.3,88.4
24.0,5.3,7.9,86.6
23.0,5.4,7.9,88.4
24.0,5.3,7.9,86.6
24.0,5.3,7.9,88.4
24.0,5.3,7.9,88.0
22.9,7.3,14.3,94.3
24.0,9.1,6.9,88.0
24.0,5.3,7.0,89.1
24.0,5.4,6.9,88.0
24.0,5.4,7.0,89.1
24.0,3.5,6.9,88.0
22.9,5.4,8.5,94.3
23.0,3.7,6.0,88.0
23.0,1.9,6.0,89.1
23.0,3.8,3.1,88.0
23.0,5.5,3.0,88.4
23.0,9.4,1.1,86.6
22.8,4.4,11.0,93.7
24.0,5.4,4.0,88.0
26.0,7.6,5.0,88.0
23.1,11.0,2.1,88.0
23.1,11.0,4.0,89.1
24.0,9.2,4.1,88.0
24.0,7.2,13.4,94.3
24.1,9.4,4.1,88.0
24.1,11.1,3.1,88.4
24.1,11.2,5.0,86.6
24.1,9.4,4.1,88.4
24.1,9.4,7.0,86.6
24.4,9.1,9.1,93.7
24.1,9.8,9.0,86.6
24.0,11.5,8.0,88.4
24.0,13.5,8.0,86.6
24.0,13.2,9.0,88.4
24.0,13.1,9.9,85.8
23.7,10.2,10.0,93.2
24.0,11.6,9.9,85.8
24.0,9.6,10.0,88.4
24.0,9.9,9.9,86.6
24.0,9.6,9.9,88.4
24.0,5.9,9.9,86.6
22.9,7.2,15.2,93.7
23.0,7.6,9.9,88.0
23.0,9.3,9.9,89.1
23.0,9.3,9.9,88.0
22.0,9.3,9.9,89.1
22.0,7.6,3.1,88.0
21.8,8.7,6.7,94.3
22.0,10.8,4.1,88.0
22.0,11.0,3.1,89.1
22.0,12.6,5.1,88.0
22.0,9.2,4.1,89.1
22.0,11.0,4.1,88.0
21.5,7.1,7.7,94.3
21.1,9.3,5.1,88.0
21.0,9.4,6.0,89.1
22.0,12.8,6.0,88.0
21.0,7.5,8.0,89.1
21.0,9.2,8.0,88.0
21.1,9.3,9.0,94.3
22.0,7.5,7.9,88.0
21.0,9.3,7.0,89.1
23.0,7.6,6.0,88.0
22.0,7.5,8.0,89.1
22.0,7.5,7.9,88.0
21.7,5.4,14.3,94.3
22.0,5.4,7.9,88.0
22.0,5.4,8.0,89.1
23.0,7.6,9.9,88.0
23.0,5.4,9.9,89.1
24.0,7.6,9.9,88.0
24.1,5.5,15.2,94.3
25.9,9.4,9.9,88.0
26.0,7.5,9.9,89.1
24.9,7.5,9.8,88.0
25.0,7.5,9.9,89.1
24.0,5.4,5.0,88.0
26.0,4.5,15.2,89.1
26.8,7.6,9.8,88.0
26.0,7.6,9.9,89.1
26.9,7.6,9.9,86.6
26.0,7.6,9.9,89.1
24.9,9.4,9.9,88.0
23.8,9.9,15.2,93.7
24.0,11.0,4.1,88.0
25.0,7.6,8.0,50.0
23.0,14.4,7.1,88.0
23.0,11.1,9.0,89.1
23.0,9.2,7.0,88.0
22.7,6.3,13.8,94.3
23.0,11.0,6.9,88.0
23.0,9.3,7.0,89.1
22.0,11.0,6.9,88.0
22.0,11.0,7.0,88.4
22.0,10.9,6.9,86.6
22.0,7.9,13.8,93.7
22.0,12.6,6.9,86.6
22.0,14.6,7.0,88.4
22.0,14.3,6.9,86.6
22.0,12.8,7.0,88.4
22.0,16.1,6.9,86.6
21.8,12.5,15.2,93.7
22.0,9.0,9.8,86.6
22.0,9.2,9.9,88.4
22.0,10.8,9.8,86.6
22.0,11.0,7.0,88.4
22.0,10.8,6.9,86.6
21.7,7.0,13.8,93.7
22.0,12.5,6.9,86.6
21.0,11.1,7.0,88.4
21.0,7.6,6.9,86.6
21.0,3.6,7.0,88.4
21.0,3.6,6.9,88.0
21.2,9.1,13.8,94.3
22.0,5.4,8.0,88.0
22.0,3.6,10.0,89.1
23.0,5.4,10.0,88.0
23.0,9.4,10.0,89.1
25.0,7.4,9.8,88.0
24.6,7.6,15.3,89.1
26.0,5.4,10.0,88.0
27.0,7.6,10.0,89.1
27.0,3.6,10.0,50.0
27.0,7.6,10.0,50.0
28.0,9.4,10.0,50.0
26.6,9.9,15.3,71.4
28.0,11.2,10.0,50.0
28.0,9.4,10.0,50.0
26.0,13.0,10.0,50.0
26.0,9.4,10.0,50.0
26.0,9.4,10.0,50.0
25.3,6.3,15.3,71.4
26.0,9.4,10.0,50.0
26.0,9.4,10.0,50.0
25.0,8.5,10.0,69.55
24.0,7.6,10.0,89.1
24.0,7.6,10.0,88.0
23.9,9.4,15.3,89.1
24.0,9.4,10.0,88.0
24.0,7.6,10.0,89.1
24.0,5.4,10.0,88.0
24.0,5.4,10.0,89.1
24.0,5.4,10.0,88.0
23.6,3.6,15.3,94.4
24.0,3.6,10.0,88.0
23.0,3.6,8.0,89.1
23.0,3.6,7.0,88.0
22.0,3.6,3.0,50.0
22.0,1.8,4.0,50.0
21.9,1.8,12.1,71.4
22.0,1.8,3.0,50.0
22.0,5.4,4.0,50.0
22.0,1.8,2.1,50.0
21.0,1.9,2.1,50.0
22.0,3.6,2.1,50.0
20.9,5.3,2.5,71.0
21.0,5.3,2.1,50.0
21.0,5.4,2.1,50.0
21.0,5.3,2.1,50.0
21.0,3.7,1.1,50.0
21.0,7.5,0.1,98.2
21.7,9.3,4.3,99.2
22.0,5.4,2.1,86.6
22.1,5.4,3.0,88.4
22.1,7.5,5.0,86.6
23.1,7.6,5.0,88.4
23.1,5.6,7.0,86.6
25.5,5.5,13.8,88.4
29.0,7.6,7.0,50.0
27.1,5.4,7.0,88.4
27.1,5.4,7.0,86.6
26.1,7.6,7.0,88.4
26.1,7.6,7.0,86.6
25.9,9.0,15.2,93.7
26.1,11.2,9.9,86.6
26.1,12.9,9.9,88.4
26.0,12.8,9.9,86.6
26.0,9.5,9.9,88.4
26.0,9.6,9.9,86.6
25.6,8.3,15.2,88.4
25.0,7.8,9.9,86.6
25.0,11.2,9.9,88.4
24.0,11.2,6.0,86.6
24.0,9.5,6.0,88.4
24.0,7.8,6.9,86.6
23.8,6.4,13.8,93.7
24.0,9.2,7.0,86.6
24.0,7.6,3.1,88.4
23.0,7.6,3.1,86.6
24.0,7.6,5.0,89.1
23.0,11.0,6.9,88.0
23.0,6.3,13.8,94.3
23.0,9.4,7.9,88.0
23.0,7.6,7.9,89.1
23.0,3.7,7.9,88.0
23.0,3.6,6.0,89.1
22.1,0.1,5.0,88.0
22.7,0.1,12.9,89.1
23.0,3.5,5.0,88.0
23.0,3.6,5.0,89.1
23.0,3.6,6.0,88.0
22.1,5.4,9.9,89.1
22.0,7.4,9.8,88.0
22.1,5.4,15.2,89.1
23.0,7.4,9.8,88.0
23.0,9.2,7.9,89.1
23.0,9.1,7.9,88.0
23.0,9.3,9.9,89.1
23.0,9.5,5.9,88.0
22.5,7.6,13.3,94.3
23.0,7.5,5.9,88.0
23.0,7.5,7.0,89.1
23.0,9.4,7.9,88.0
23.1,11.0,8.9,89.1
23.1,14.3,9.8,88.0
23.6,7.8,15.2,94.3
24.0,2.1,9.8,88.0
24.0,5.5,9.9,89.1
24.0,9.5,9.8,88.0
24.0,9.4,5.0,89.1
24.0,7.6,5.0,88.0
25.2,4.4,15.2,89.1
25.9,7.4,9.8,88.0
25.0,7.5,9.9,89.1
25.9,5.3,9.8,88.0
26.0,9.2,9.9,89.1
25.9,5.3,9.8,88.0
24.9,3.6,15.2,94.3
24.9,1.8,9.8,88.0
25.0,1.8,9.9,89.1
24.9,1.8,9.9,51.4
25.0,3.6,8.0,89.1
24.9,3.5,7.9,88.0
23.6,3.5,13.8,89.1
24.0,1.9,6.9,88.0
24.0,1.9,7.9,50.6
23.0,3.7,9.8,51.4
23.0,5.4,9.9,50.6
23.0,3.7,9.9,51.4
23.1,4.4,15.2,71.7
23.9,7.5,9.9,51.4
23.0,3.7,9.9,50.6
23.0,3.6,9.9,51.4
22.0,3.5,7.0,50.6
22.0,3.6,7.0,88.0
21.9,3.6,13.8,89.1
22.0,1.9,5.1,88.0
22.0,1.9,3.1,89.1
22.0,3.6,5.1,88.0
22.0,1.9,7.0,50.6
22.0,7.6,7.0,51.4
21.7,4.4,5.4,71.7
22.0,5.2,7.0,51.4
22.0,5.3,7.0,50.6
22.0,5.3,8.0,51.4
22.0,1.9,8.0,50.0
22.0,3.5,7.0,50.0
21.7,3.6,13.8,71.7
23.0,3.5,8.0,51.4
25.0,5.4,8.0,50.6
26.0,14.6,9.9,88.0
26.0,14.6,9.9,2.7
25.1,12.6,9.9,51.4
24.6,7.0,15.2,76.3
25.1,11.0,9.9,50.0
26.0,12.9,10.0,50.0
26.0,13.1,9.9,50.0
26.0,11.3,10.0,88.4
26.1,7.5,9.9,86.6
26.1,5.6,15.2,93.7
27.1,9.8,9.9,86.6
26.1,12.9,10.0,88.4
25.0,13.1,9.9,86.6
25.0,14.8,10.0,89.1
24.0,13.5,9.9,88.0
23.8,9.5,7.7,93.7
24.0,13.5,5.1,86.6
23.0,7.9,5.1,88.4
24.0,8.3,6.1,86.6
24.0,9.7,5.0,89.1
23.0,9.9,3.1,88.0
22.8,6.5,6.7,93.7
23.0,11.3,3.1,86.6
23.0,12.9,3.1,88.4
22.0,9.5,5.0,88.0
23.0,9.3,5.0,89.1
23.0,9.3,6.0,86.6
22.7,7.5,8.1,93.7
22.0,7.6,7.9,86.6
22.0,11.1,9.9,88.4
23.0,9.2,9.9,86.6
22.0,11.0,7.0,88.4
22.0,10.8,4.1,86.6
21.9,12.8,7.2,93.7
22.0,12.8,4.1,86.6
22.0,12.9,3.1,88.4
22.0,12.8,3.1,86.6
22.0,11.1,3.1,88.4
21.1,11.0,3.1,86.6
21.7,7.2,6.7,93.7
22.0,11.1,3.1,86.6
21.1,9.3,4.0,88.4
21.1,11.2,4.1,86.6
21.1,11.1,4.0,88.4
21.1,11.1,3.1,86.6
21.6,14.7,6.3,94.3
21.1,0.5,3.2,88.0
21.1,13.0,4.1,89.1
21.1,12.8,4.2,88.0
22.1,12.9,5.1,89.1
22.1,14.4,5.0,88.0
22.0,8.8,7.2,94.3
22.0,14.6,4.1,88.0
21.1,12.9,4.1,89.1
22.1,11.2,4.1,88.0
22.1,14.7,4.1,89.1
22.1,14.6,4.2,88.0
21.9,8.8,12.5,94.3
22.1,14.7,3.2,88.0
22.1,13.0,3.1,89.1
22.1,13.1,2.3,88.0
22.1,14.8,2.1,89.1
22.0,14.7,2.3,88.0
20.9,9.1,6.3,94.3
21.1,14.6,2.3,88.0
21.1,11.1,2.1,89.1
21.1,12.8,4.2,88.0
20.1,12.8,5.1,89.1
20.1,11.0,4.2,88.0
20.6,7.1,7.3,94.3
21.1,9.3,5.2,88.0
21.1,7.6,5.1,89.1
21.0,7.6,1.3,88.0
21.0,7.6,4.1,89.1
21.1,7.6,4.2,88.0
20.2,7.6,7.3,94.3
21.0,7.5,7.1,88.0
20.1,5.4,9.0,89.1
21.0,7.5,9.0,88.0
21.0,7.5,9.0,89.1
21.0,5.4,3.2,88.0
20.6,9.3,6.8,94.3
21.0,5.3,5.2,88.0
21.0,9.3,4.1,89.1
20.1,9.0,4.2,88.0
20.1,9.3,4.1,89.1
